Customer ID,Gender,Age,Monthly Charges,Total Charges,Number of Calls,Number of Messages,Churn
1,Male,35,50,500,100,20,0
2,Female,42,70,800,200,50,1
3,Male,28,40,300,50,10,0
4,Female,55,80,1500,300,100,1
5,Male,20,30,100,10,5,0
6,Female,48,60,700,150,30,0
7,Male,33,55,450,90,15,1
8,Female,39,75,900,250,60,0
9,Male,25,35,250,40,8,0
10,Male,50,85,1800,400,120,1
11,Female,31,65,600,120,25,0
12,Male,45,75,1000,200,50,1
13,Female,29,45,350,60,12,0
14,Male,36,60,550,110,22,0
15,Female,52,90,2000,450,150,1
16,Male,23,30,150,20,4,0
17,Female,47,70,850,180,40,1
18,Male,32,50,400,80,18,0
19,Male,38,65,700,160,35,0
20,Female,41,80,1200,280,70,1
