Advertising Spend (Online Ads),Advertising Spend (Social Media),Advertising Spend (Email Marketing),Sales Revenue
1809,728,551,3126
1001,957,785,2419
1885,1616,678,4418
1364,565,561,2383
947,976,1534,4465
554,1649,907,4932
1830,1936,1616,3718
951,1419,1706,3139
513,826,1929,3731
1196,1069,818,2881
1189,709,689,3556
698,1235,1204,4472
1041,588,1994,3881
1598,755,1275,2322
1630,1100,1787,4533
1240,1682,893,4885
642,593,1854,2933
1092,663,976,2413
1278,1069,1428,4603
1247,833,1258,3455
929,1872,1046,4874
1899,1827,646,4495
1800,850,1593,4986
1001,834,1446,3554
1052,1810,1909,4281
949,1902,1164,2229
969,565,1146,3643
1048,635,932,4323
1970,1144,935,4684
1522,1310,1816,3879
792,1042,785,3010
1649,1603,1038,4394
1377,1695,1317,3482
949,783,1543,4021
686,596,724,2626
1785,827,1893,3729
1721,630,1288,3563
1720,1458,1583,3029
1633,523,1893,4952
734,1896,1599,3092
1812,1196,728,3202
1390,823,1429,2013
1978,1973,1039,4050
865,1539,717,4561
1111,1808,1539,4494
907,813,1265,2661
1604,1586,501,4453
1163,1500,539,2458
1243,1129,990,2237
993,1661,661,2350
