Age,Annual Income ($),Spending Score (0-100)
25,40000,75
30,60000,60
45,80000,40
20,20000,90
50,70000,30
35,50000,50
55,90000,20
40,100000,10
28,30000,70
60,120000,5
45,50000,80
27,40000,85
35,80000,25
40,70000,35
60,50000,15
25,100000,75
30,20000,60
45,30000,40
20,90000,90
50,100000,30
35,40000,50
55,60000,20
40,120000,10
28,70000,70
60,80000,5
45,40000,80
27,60000,85
35,80000,25
40,50000,35
60,30000,15
25,120000,75
30,50000,60
45,100000,40
20,40000,90
50,70000,30
35,90000,50
55,100000,20
40,30000,10
28,80000,70
60,40000,5
45,60000,80
27,80000,85
35,50000,25
40,70000,35
60,120000,15
25,50000,75
30,100000,60
45,20000,40
20,30000,90
50,90000,30
35,100000,50
55,40000,20
40,60000,10
28,120000,70
60,40000,5
45,60000,80
27,80000,85
35,50000,25
40,70000,35
60,30000,15
25,120000,75
30,50000,60
45,100000,40
20,40000,90
50,70000,30
35,90000,50
55,100000,20
40,30000,10
28,80000,70
60,40000,5
45,60000,80
27,80000,85
35,50000,25
40,70000,35
60,120000,15
25,50000,75
30,100000,60
45,20000,40
20,30000,90
50,90000,30
35,100000,50
55,40000,20
40,60000,10
28,120000,70
60,40000,5
